wissen_id;kategorie;name;typisierung_mahlgrad;technische_daten;beschreibung_history;back_eigenschaften;verwendung_tipps;internationale_ref;bild_ref;bild_positive_prompt;bild_negativ_prompt;gemini_comment1;gemini_comment2
WIS-MAIS-01;Mehl & Getreide;Masarepa;Vorgekochtes Maismehl;Hergestellt aus gekochtem, getrocknetem und dann gemahlenem Mais. Erhältlich in Gelb (Amarilla) und Weiss (Blanca). Glutenfrei.;Grundnahrungsmittel in Kolumbien und Venezuela. Ermöglichte die schnelle Zubereitung von Arepas ohne den langen Prozess des Maiskochens und -mahlens zu Hause (industriell revolutioniert durch Marke P.A.N.).;Bindet Wasser sofort (Kaltqueller). Bildet einen knetbaren Teig ähnlich wie Knete. Keine Hefe oder Triebmittel nötig für die Bindung.;Darf NICHT mit Polenta oder rohem Maismehl verwechselt werden. Verhältnis meist 1:1 mit Wasser.;CH: Kein Äquivalent (Spezialprodukt) | Ersatz: Keiner (Polenta funktioniert nicht);wis_masarepa.jpg;Professional food photography, bowl of masarepa pre-cooked corn flour, fine yellow powder texture, packet of PAN flour in background blurred, rustic table;blurry, text, packaging details, cartoon;Essentiell für Arepas.;Unterschied zu Polenta beachten!
WIS-MAIS-02;Mehl & Getreide;Masa Harina;Nixtamalisiertes Maismehl;Mais wird in Kalkwasser gekocht (Nixtamalisation), getrocknet und gemahlen. Glutenfrei.;Ursprung in Mexiko (Azteken/Maya). Der Prozess schliesst Nährstoffe auf (Niacin) und verändert den Geschmack signifikant.;Typischer "Taco"-Geschmack (alkalisch). Bindet gut, aber schmeckt anders als Masarepa. Teig ist weniger elastisch als Weizen.;Ideal für Tortillas, Tamales und Tacos. Kann notfalls für Arepas genutzt werden, verändert aber den Geschmack stark.;CH: Kein Äquivalent | DE: Masa Harina | MX: Masa;wis_masaharina.jpg;Professional food photography, pile of masa harina flour, white-greyish tone, alongside dried corn kernels and lime stone, mexico style;blurry, text, cartoon;Riecht leicht nach Kalk/Lauge.;Nicht verwechseln mit Masarepa.
WIS-MAIS-03;Zutaten;Maisstärke (Maizena);Reine Stärke;Auszug aus dem Mehlkörper des Mais, komplett ohne Proteine oder Fasern. Glutenfrei.;Wurde im 19. Jahrhundert industriell entwickelt. Dient primär als Bindemittel oder um Gebäck "feiner" zu machen.;Kein Kleber-Gerüst. Macht Gebäcke "mürbe" und kurz im Biss ("Sandkuchen"-Effekt). In Broten (z.B. Pandebono) sorgt es für gummiartige Elastizität nur in Kombi mit Käse/Wasser.;In Fondue unverzichtbar. In Brotteigen nur als Zusatz (max 20%) für feinere Poren.;Int: Cornstarch, Maizena, Fécule de maïs;wis_maizena.jpg;Professional food photography, spoon with pure white cornstarch powder, very fine texture, dusting into a bowl, high contrast;blurry, text, dirty;Macht Gebäck mürbe.;Reines Kohlenhydrat.
WIS-TRIEB-01;Triebmittel;Hefe (Frisch & Trocken);Saccharomyces cerevisiae;Einzelliger Pilz, der Zucker in CO2 und Alkohol umwandelt. Optimale Temperatur 25-30°C. Ab 45°C sterben die Zellen.;Seit Jahrtausenden genutzt (früher wild), seit Louis Pasteur (19. Jh.) industriell rein gezüchtet.;Starke Triebkraft, neutraler Geschmack (wenn sparsam dosiert). Sorgt für Volumen.;Frischhefe: 1 Würfel (42g) auf 1kg Mehl (Standard) oder weniger bei langer Gare. Trockenhefe: 1 Päckchen (7g) entspricht 1/2 Würfel (21g) Frischhefe.;CH: Presshefe | Int: Yeast, Levure, Lievito di birra;wis_hefe.jpg;Professional food photography, block of fresh beige yeast crumbled on a wooden spoon, baking background;blurry, text, cartoon;Trockenhefe ist konzentrierter (Faktor 3).;Salz tötet Hefe bei direktem Kontakt.
WIS-TRIEB-02;Triebmittel;Lievito Madre;Fester Weizensauerteig;Spontangeführter Sauerteig, sehr fest (Teigausbeute ca. 50%), oft in Wasser oder Tuch geführt. Mildere Säure (mehr Milchsäure, weniger Essigsäure).;Traditionell in Italien für Panettone, Colomba und helle Brote (Pane Pugliese) verwendet. Die "Mutterhefe" wird oft über Generationen gepflegt.;Enorme Triebkraft bei richtiger Pflege. Bringt komplexe Aromen, längere Frischhaltung und eine wattige Krume. Weniger sauer als Roggensauer.;Muss regelmäßig (alle 3-4 Std vor Backtag) aufgefrischt werden ("Rinfresco"), um die Triebkraft zu maximieren.;IT: Lievito Madre / Pasta Madre | FR: Levain dur;wis_lievito.jpg;Professional food photography, glass jar with bubbling active lievito madre sourdough starter, stiff texture, honeycomb structure visible through glass;blurry, text, mold;Die Diva unter den Triebmitteln.;Benötigt viel Pflege und Wärme (28°C).
WIS-KORN-01;Getreide;Weizen;Triticum aestivum;Das wichtigste Backgetreide. Enthält Gliadin und Glutenin, die zusammen Gluten (Klebereiweiss) bilden.;Ursprung im "Fruchtbaren Halbmond". In Europa seit der Jungsteinzeit. Zuchtziele heute: Hoher Ertrag und Kleberqualität.;Bildet das stabilste Klebergerüst. Kann viel Wasser binden und Gärgase halten -> hohes Volumen.;Unterschiede in Proteingehalt beachten (US-Weizen ist stärker als europäischer).;CH: Weizen | DE: Weizen | Int: Wheat, Blé, Grano;wis_weizen.jpg;Professional food photography, golden wheat spikes and wheat grains on a wooden table, sunlight;blurry, text, cartoon;Basis für fast alles.;Kleberstark.
WIS-KORN-02;Getreide;Roggen;Secale cereale;Enthält Gluten, bildet aber kein Klebergerüst wegen Pentosanen (Schleimstoffen).;Getreide des kühleren Nord-/Osteuropas. War lange das "Brot der Armen", heute geschätzt für Geschmack und Haltbarkeit.;Teige sind klebrig und plastisch (nicht elastisch). Benötigt Säure (Sauerteig), um die Stärke-Verkleisterung zu steuern (sonst klitschig).;Muss fast immer versäuert werden (Ausnahme: Schrotbrot mit viel Hefe, aber Qualität leidet).;CH: Roggen | DE: Roggen | Int: Rye, Seigle, Segale;wis_roggen.jpg;Professional food photography, dark rye grains and rye flour, rustic moody lighting, grey-greenish tones;blurry, text, bright colors;Braucht Säure!;Klebt wie Zement.
WIS-KORN-03;Getreide;Dinkel;Triticum spelta;Urform des Weizens. Spelzgetreide (Korn ist fest mit Hülle verwachsen, muss "geröllt" werden).;Wurde vom Weizen verdrängt (weniger Ertrag), erlebt Renaissance wegen Verträglichkeit und nussigem Geschmack. Hildegard von Bingen lobte ihn.;Kleber ist "dehnbarer" aber weniger stabil als Weizen (fliesst breit). Neigt zum Trockenbacken.;Teige schonend kneten (überknetet schnell). Kochstück hilft für Saftigkeit.;CH: Dinkel | DE: Dinkel | Int: Spelt, Épeautre, Farro;wis_dinkel.jpg;Professional food photography, spelt grains and flour, slightly reddish hue, rustic sack;blurry, text, cartoon;Vorsichtig kneten.;Neigt zum Breitlaufen.
WIS-KORN-04;Getreide;Urdinkel;Alte Dinkelsorten;Nicht mit Weizen gekreuzte Dinkelsorten (z.B. Oberkulmer Rotkorn, Ostro). Marke "Urdinkel" in CH geschützt.;Gegenbewegung zur modernen Weizenzucht. Garantiert reine Genetik ohne Einkreuzung von modernem Weizen.;Noch empfindlicherer Kleber als normaler Dinkel. Sehr aromatisches, nussiges Aroma.;Benötigt zwingend Backform (Kastenbrot) oder sehr viel Erfahrung und ein Brühstück zur Stabilisierung.;CH: Label Urdinkel | DE: Bauländer Spelz;wis_urdinkel.jpg;Professional food photography, rustic dark spelt bread sliced, grains nearby, switzerland branding style nature;blurry, text, neon;Schwieriger zu verarbeiten.;Sehr gesund und aromatisch.
WIS-KORN-05;Getreide;Reismehl;Oryza sativa;Fein gemahlener Reis (weiss oder braun). Komplett glutenfrei.;Basis für viele asiatische Gebäcke und glutenfreie Mischungen.;Keine Eigenbackfähigkeit für Brot (bröselt). Wird oft als Streumehl für Gärkörbchen genutzt, da es keine Feuchtigkeit zieht und nicht klebt.;Perfektes "Trennmittel" beim Wirken von klebrigen Teigen (z.B. Roggen oder hohe Hydration).;CH: Reismehl | Int: Rice Flour;wis_reismehl.jpg;Professional food photography, white rice flour in a small bowl, rice grains scattered, high key lighting;blurry, text, dark;Super als Trennmittel.;Klebt nicht am Teig.
